Наименование;Группа видов номеналтуры;Папка видов номенклатуры;Вид номенклатуры;фильтр;Единица хранения;Артикул;Производитель;Поставщик;Товарная категория;Субкатегория;Бренд;Линейка;Сублинейка;Канал;Ценовая группа;Единица измерения веса;Вес;Единица измерения объема;Объем;Единица измерения площади;Площадь;Единица измерения длины;Длина;Ширина;Высота;Импортный товар (учет по ГТД);Единица измерения срока годности;Срок годности;Использовать упаковки;Набор упаковок;Код ТНВЭД;База;Литражи;Цвет (готовый / колеровка);Цвет (если готовый);Степень блеска;Эффект;Стиль;Применение (что красить);Применение (материал);Расход применения, литр/кг на м2;Класс износостойкости;Материал ORAC;Текстовое описание;Ссылка на фото;Высота ворса;Материал ворса;Толщина ворса;Материал ручки;Рабочая ширина;Диаметр ядра;Совместимость/механизм крепления;Тип крепления/диаметр бюгеля/резьбы;Посадка (посадочное место);Тип кромки/лезвия;Покрытие рабочей части;Материал плюша (для валиков);Состав щетины/филамента;Клей/степень адгезии;Адгезия/сила клея (метрика);Время безопасного снятия (нед.);УФ-стойкость;Температурная стойкость;Прозрачность/цветопередача;Прочность на разрыв;Растяжимость/удлинение;Многоразовость;Влагостойкость (да/нет);Совместимость со средой;Сертификация/стандарт;Условия эксплуатации/тип поверхности
R52 Розетка потолочная из полиуретана;Товары;Декор;Декоративные элементы;1;Шт;R52;"ООО ""Орак""";"ООО ""Орак""";Декоративные элементы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;2,31;;;;;см;69,5;;;Да;;;;;;;;;;;;Классический,;На потолок;;;;Полиуретан;Большая розетка с классической резьбой. Позволяет спрятать провода. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы.;https://drive.google.com/file/d/1jDBUY7ft8crmkWYv9LFVOARpbYpBypcx/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C200 Карниз из полиуретана;Товары;Декор;Карнизы;1;Шт;C200;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;5,737;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На потолок;;;;Полиуретан;Этот элегантный классический профиль — одна из самых популярных моделей карнизов. Нестареющий дизайн идеально вписывается в любой интерьер.;https://drive.google.com/file/d/1sp1gVgfdURd1aakhDbTazmFn5CD-ByXS/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C201 Карниз из полиуретана;Товары;Декор;Карнизы;1;Шт;C201;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,72;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На потолок;;;;Полиуретан;Классический карниз с детальным листовым узором. Этот карниз станет ярким акцентом вашего интерьера.;https://drive.google.com/file/d/1wWk64NAA9odjFY-oLAqXHYPdt5sez_JN/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C211 Карниз из полиуретана;Товары;Декор;Карнизы;1;Шт;C211;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;8,615;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На потолок;;;;Полиуретан;Величественный карниз, вдохновленный классической архитектурой. Дизайн с зубчатыми блоками подчеркнет индивидуальность вашего интерьера.;https://drive.google.com/file/d/19Rkt8uNCRLzbXU2tk6S6vaxsTg-prGs9/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
P1020 Молдинг из полиуретана;Товары;Декор;Молдинги;1;Шт;P1020;"ООО ""Орак""";"ООО ""Орак""";Молдинги;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;7,377;;;;;см;200;;;Да;;;;;;;;;;;;Классический,современный;На стену;;;;Полиуретан;Настенный молдинг с листьями аканта и миндалем. Этот профиль может стать яркой деталью как в классическом, так и в современном интерьере.;https://drive.google.com/file/d/1r2vB_F86iGJDU4bG76IeAjdBEvd61V-X/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C211F карниз гибкий;Товары;Декор;Карнизы;1;Шт;C211F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;18,727;;;;;см;200;;;Да;;;;;;;;;;;;Классический,;На потолок;;;;гибкий материал ;Гибкая версия C211. Этот величественный карниз с зубчатыми блоками подчеркнет индивидуальность вашего интерьера. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Обязательно обратите внимание на модель C422, используйте комбинации с моделью C305 для придания вашему интерьеру еще большей величественности. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 250 cm;https://drive.google.com/file/d/1r2vB_F86iGJDU4bG76IeAjdBEvd61V-X/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C212 Карниз из полиуретана;Товары;Декор;Карнизы;1;Шт;C212;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;7,817;;;;;см;200;;;Да;;;;;;;;;;;;Классический,современный;На потолок;;;;Полиуретан;Этот карниз с орнаментом ионики вдохновлен классической архитектурой. Его великолепный дизайн с изысканными деталями идеально подходит как для классических, так и для современных интерьеров.;https://drive.google.com/file/d/1isCtS_IlZDI-eF0MMaCGfGUSoQftap2_/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C213 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C213;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;10,28;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Модель Canterbury обладает идеальной симметрией благодаря одинаковому линейному узору на верхнем и нижнем крае. Варианты большего размера: C217 и C338 — в течение многих лет остаются хитами продаж.;https://drive.google.com/file/d/1faSwCLZ-_UIzvMxU9-RhPGUDWL1hfdbA/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C213F карниз гибкий полиуретан;Товары;Декор;Карнизы;1;Шт;C213F;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Flex;Orac;;;Décor Plus;Премиум;Килограмм;17,592;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;гибкий материал ;Гибкая версия C213. Эта модель Canterbury обладает идеальной симметрией. Круглые стены или изогнутые поверхности не представляют никакой трудности для технологии Flex. Большая версия C217F также остается одним из хитов продаж уже в течение многих лет. Примечания: Используйте DecoFix Pro или DecoFix Power. Для крепления к стене должны использоваться шурупы. Flex Radius: R min = 280 cm;https://drive.google.com/file/d/1CuPjepJ8YGhGMuVJybmDQ4Ss4I_jjS1u/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
C215 карниз полиуретан;Товары;Декор;Карнизы;1;Шт;C215;"ООО ""Орак""";"ООО ""Орак""";Карнизы;Purotouch;Orac;;;Décor Plus;Премиум;Килограмм;7,777;;;;;см;200;;;Да;;;;;;;;;;;;классический,;На стену ;;;;Полиуретан;Линейный симметричный профиль. Этот классический карниз идеально впишется в любой интерьер.;https://drive.google.com/file/d/1JYCn5qr_IawuHlw20oX94_Oxl6VAMrHC/view?usp=drive_link;;;;;;;;;;;;;;;;;;;;;;;;;;
